decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
30pct,layout,L1,12,0.3333333333333333,0.3166666666666667,0.16666666666666666,0.6666666666666666,0.030862363195046778
30pct,layout,L3,12,0.25,0.26666666666666666,0.25,0.75,0.07154579003651937
30pct,blue_side,left,12,0.5,0.39166666666666666,0.0,1.0,0.08131639526691288
30pct,blue_side,right,12,0.08333333333333333,0.19166666666666668,0.4166666666666667,0.4166666666666667,0.021091757964653273
30pct,condition,C0,8,0.375,0.36250000000000004,0.125,0.625,0.05340876701520756
30pct,condition,C1,8,0.25,0.2625,0.25,0.75,0.04839614362223074
30pct,condition,C2,8,0.25,0.25,0.25,0.75,0.051807319209910926
30pct,target_color_x_side,blue/left,6,0.0,0.0,0.0,1.0,0.13363394364559403
30pct,target_color_x_side,blue/right,6,0.0,0.06666666666666667,0.0,0.0,0.05551697061862796
30pct,target_color_x_side,red/left,6,0.16666666666666666,0.31666666666666665,0.8333333333333334,0.8333333333333334,-0.013333454689321414
30pct,target_color_x_side,red/right,6,1.0,0.7833333333333333,0.0,1.0,0.028998846888231733
30pct,layout_x_side,L1/left,6,0.16666666666666666,0.15,0.3333333333333333,0.8333333333333334,0.02950622431312998
30pct,layout_x_side,L1/right,6,0.5,0.48333333333333334,0.0,0.5,0.03221850207696358
30pct,layout_x_side,L3/left,6,0.0,0.16666666666666666,0.5,1.0,0.09079426464314262
30pct,layout_x_side,L3/right,6,0.5,0.3666666666666667,0.0,0.5,0.05229731542989611
30pct,layout_x_blue_side,L1/left,6,0.5,0.4166666666666667,0.0,1.0,0.04977097960188984
30pct,layout_x_blue_side,L1/right,6,0.16666666666666666,0.21666666666666667,0.3333333333333333,0.3333333333333333,0.011953746788203717
30pct,layout_x_blue_side,L3/left,6,0.5,0.3666666666666667,0.0,1.0,0.11286181093193591
30pct,layout_x_blue_side,L3/right,6,0.0,0.16666666666666666,0.5,0.5,0.030229769141102827
30pct,condition_x_side,C0/left,4,0.25,0.225,0.25,0.75,0.07282921880483627
30pct,condition_x_side,C0/right,4,0.5,0.5,0.0,0.5,0.03398831522557884
30pct,condition_x_side,C1/left,4,0.0,0.15,0.5,1.0,0.05648625891655683
30pct,condition_x_side,C1/right,4,0.5,0.375,0.0,0.5,0.04030602832790464
30pct,condition_x_side,C2/left,4,0.0,0.1,0.5,1.0,0.0511352557130158
30pct,condition_x_side,C2/right,4,0.5,0.4,0.0,0.5,0.05247938270680606
30pct,condition_x_target_color,C0/blue,4,0.0,0.1,0.0,0.5,0.09042887218762188
30pct,condition_x_target_color,C0/red,4,0.75,0.625,0.25,0.75,0.01638866184279323
