decision,grouping,level,num_trajectories,accuracy,camera_frame_accuracy,seed_pooled_accuracy,predicted_left_rate,mean_score_left_minus_right
exponential,blue_side,left,12,0.5,0.5,0.5416666666666666,1.0,-0.02942556218463842
exponential,blue_side,right,12,0.5,0.5,0.5499999999999999,1.0,-0.03488215214945618
exponential,condition,C0,8,0.5,0.5,0.55,1.0,-0.04256362788287747
exponential,condition,C1,8,0.5,0.5,0.5625,1.0,-0.02717052619509122
exponential,condition,C2,8,0.5,0.5,0.525,1.0,-0.026727417423173205
exponential,target_color_x_side,blue/left,6,1.0,0.0,1.0,1.0,-0.04211569260228937
exponential,target_color_x_side,blue/right,6,0.0,1.0,0.09999999999999999,1.0,-0.021512258292547798
exponential,target_color_x_side,red/left,6,1.0,0.0,1.0,1.0,-0.04825204600636456
exponential,target_color_x_side,red/right,6,0.0,1.0,0.08333333333333333,1.0,-0.01673543176698747
exponential,layout_x_side,L1/left,6,1.0,0.0,1.0,1.0,-0.041691387700987764
exponential,layout_x_side,L1/right,6,0.0,1.0,0.10000000000000002,1.0,-0.02027716817519023
exponential,layout_x_side,L3/left,6,1.0,0.0,1.0,1.0,-0.04867635090766618
exponential,layout_x_side,L3/right,6,0.0,1.0,0.08333333333333333,1.0,-0.017970521884345034
exponential,condition_x_side,C0/left,4,1.0,0.0,1.0,1.0,-0.06493264930935
exponential,condition_x_side,C0/right,4,0.0,1.0,0.1,1.0,-0.020194606456404945
exponential,condition_x_side,C1/left,4,1.0,0.0,1.0,1.0,-0.03976594276392553
exponential,condition_x_side,C1/right,4,0.0,1.0,0.125,1.0,-0.01457510962625691
exponential,condition_x_side,C2/left,4,1.0,0.0,1.0,1.0,-0.030853015839705365
exponential,condition_x_side,C2/right,4,0.0,1.0,0.05,1.0,-0.022601819006641044
exponential,condition_x_target_color,C0/blue,4,0.5,0.5,0.575,1.0,-0.04279968092102141
exponential,condition_x_target_color,C0/red,4,0.5,0.5,0.525,1.0,-0.04232757484473354
exponential,condition_x_target_color,C1/blue,4,0.5,0.5,0.55,1.0,-0.02696834947092732
exponential,condition_x_target_color,C1/red,4,0.5,0.5,0.5750000000000001,1.0,-0.02737270291925513
exponential,condition_x_target_color,C2/blue,4,0.5,0.5,0.525,1.0,-0.025673895950307016
exponential,condition_x_target_color,C2/red,4,0.5,0.5,0.525,1.0,-0.027780938896039394
