decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
30pct,layout_x_blue_side,L1/left,6,0.16666666666666666,0.21666666666666667,0.3333333333333333,0.6666666666666666,0.04303485740597049
30pct,layout_x_blue_side,L1/right,6,0.16666666666666666,0.2833333333333333,0.3333333333333333,0.3333333333333333,0.021469499953091147
30pct,layout_x_blue_side,L3/left,6,0.5,0.4166666666666667,0.0,1.0,0.11732654577897239
30pct,layout_x_blue_side,L3/right,6,0.5,0.5,0.0,0.0,0.05916939767543228
30pct,condition_x_side,C0/left,4,0.25,0.375,0.25,0.75,0.07095673670060931
30pct,condition_x_side,C0/right,4,0.5,0.55,0.0,0.5,0.07172317410819232
30pct,condition_x_side,C1/left,4,0.25,0.275,0.25,0.75,0.04756761928088962
30pct,condition_x_side,C1/right,4,0.25,0.225,0.25,0.25,0.022602991210296755
30pct,condition_x_side,C2/left,4,0.5,0.475,0.0,0.5,0.12126665408490225
30pct,condition_x_side,C2/right,4,0.25,0.22499999999999998,0.25,0.25,0.027383275835309185
30pct,condition_x_target_color,C0/blue,4,0.0,0.05,0.0,0.5,0.07455941332504153
30pct,condition_x_target_color,C0/red,4,0.75,0.875,0.25,0.75,0.06812049748376012
30pct,condition_x_target_color,C1/blue,4,0.0,0.0,0.0,0.5,0.06837245247326791
30pct,condition_x_target_color,C1/red,4,0.5,0.5,0.5,0.5,0.0017981580179184681
30pct,condition_x_target_color,C2/blue,4,0.0,0.0,0.0,0.5,0.12126070664729922
30pct,condition_x_target_color,C2/red,4,0.75,0.7000000000000001,0.25,0.25,0.027389223272912207
40pct,overall,all,24,0.4166666666666667,0.3916666666666666,0.25,0.5833333333333334,0.0732537379457305
40pct,target_color,blue,12,0.16666666666666666,0.15,0.16666666666666666,0.6666666666666666,0.09975674077868461
40pct,target_color,red,12,0.6666666666666666,0.6333333333333334,0.3333333333333333,0.5,0.04675073511277636
40pct,target_side,left,12,0.3333333333333333,0.3083333333333333,0.16666666666666666,0.6666666666666666,0.10324785150587558
40pct,target_side,right,12,0.5,0.47500000000000003,0.3333333333333333,0.5,0.043259624385585387
40pct,layout,L1,12,0.16666666666666666,0.19999999999999998,0.3333333333333333,0.5,0.03406024806201458
40pct,layout,L3,12,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.6666666666666666,0.1124472278294464
40pct,blue_side,left,12,0.3333333333333333,0.325,0.16666666666666666,0.8333333333333334,0.12121619690830508
40pct,blue_side,right,12,0.5,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.025291278983155887
40pct,condition,C0,8,0.5,0.5125,0.25,0.75,0.08729663394391536
40pct,condition,C1,8,0.375,0.3625,0.375,0.625,0.05346059046685696
40pct,condition,C2,8,0.375,0.3,0.125,0.375,0.07900398942641913
40pct,target_color_x_side,blue/left,6,0.0,0.0,0.0,1.0,0.1777133133014043
40pct,target_color_x_side,blue/right,6,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333,0.02180016825596491
40pct,target_color_x_side,red/left,6,0.6666666666666666,0.6166666666666667,0.3333333333333333,0.3333333333333333,0.028782389710346856
40pct,target_color_x_side,red/right,6,0.6666666666666666,0.65,0.3333333333333333,0.6666666666666666,0.06471908051520586
40pct,layout_x_side,L1/left,6,0.16666666666666666,0.15,0.3333333333333333,0.8333333333333334,0.04165273676315944
40pct,layout_x_side,L1/right,6,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.026467759360869727
40pct,layout_x_side,L3/left,6,0.5,0.4666666666666666,0.0,0.5,0.16484296624859174
40pct,layout_x_side,L3/right,6,0.8333333333333334,0.7000000000000001,0.3333333333333333,0.8333333333333334,0.06005148941030105
40pct,layout_x_blue_side,L1/left,6,0.16666666666666666,0.19999999999999998,0.3333333333333333,0.6666666666666666,0.058253274857997896
40pct,layout_x_blue_side,L1/right,6,0.16666666666666666,0.19999999999999998,0.3333333333333333,0.3333333333333333,0.00986722126603126
40pct,layout_x_blue_side,L3/left,6,0.5,0.45,0.0,1.0,0.18417911895861228
40pct,layout_x_blue_side,L3/right,6,0.8333333333333334,0.7166666666666667,0.3333333333333333,0.3333333333333333,0.04071533670028051
40pct,condition_x_side,C0/left,4,0.25,0.275,0.25,0.75,0.08050778165459632
40pct,condition_x_side,C0/right,4,0.75,0.75,0.25,0.75,0.0940854862332344
40pct,condition_x_side,C1/left,4,0.25,0.275,0.25,0.75,0.08091358054429293
40pct,condition_x_side,C1/right,4,0.5,0.45,0.5,0.5,0.026007600389420994
40pct,condition_x_side,C2/left,4,0.5,0.375,0.0,0.5,0.1483221923187375
40pct,condition_x_side,C2/right,4,0.25,0.22499999999999998,0.25,0.25,0.009685786534100772
40pct,condition_x_target_color,C0/blue,4,0.25,0.25,0.25,0.75,0.08703236632049083
